-0.277350098112614,-0.277350098112614,-0.277350098112615,-0.277350098112614,0.832050294337844,0,0
0,0,0,0,0.816496580927726,-0.408248290463863,-0.408248290463863
0,0,0,0,-1,0,0
-1,0,0,0,0,0,0
-0.577350269189626,-0.577350269189626,0,0,0.577350269189626,0,0
-0.377964473009227,-0.377964473009227,-0.377964473009227,0,0.755928946018455,0,0
0,0,0,0,0.707106781186548,-0.707106781186547,0
0,1,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,1,0,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0.577350269189626,0.577350269189626,0,0,-0.577350269189626,0,0
0.377964473009227,0.377964473009227,0.377964473009227,0,-0.755928946018455,0,0
0,0,0,0,-0.707106781186548,0.707106781186547,0
1,0,0,0,0,0,0
